Zip Code,Receive Date/Time
60804-0000,"Thu, 21 Jan 2021 10:22:05 CST"
60804-0000,"Thu, 21 Jan 2021 10:26:00 CST"
60546-0000,"Wed, 20 Jan 2021 09:23:10 CST"
60546-0000,"Wed, 20 Jan 2021 09:24:26 CST"
60804-0000,"Wed, 20 Jan 2021 09:26:50 CST"
60804-0000,"Wed, 20 Jan 2021 09:33:25 CST"
60804-0000,"Wed, 20 Jan 2021 09:35:05 CST"
60004-0000,"Wed, 20 Jan 2021 09:37:21 CST"
600040000,"Wed, 20 Jan 2021 09:39:02 CST"
60652-0000,"Wed, 20 Jan 2021 09:40:38 CST"
60181-0000,"Wed, 20 Jan 2021 09:42:11 CST"
60022-0000,"Wed, 20 Jan 2021 09:46:21 CST"
60022-0000,"Wed, 20 Jan 2021 09:47:25 CST"
60623-0000,"Wed, 20 Jan 2021 09:50:09 CST"
60804-0000,"Wed, 20 Jan 2021 09:52:29 CST"
60804-0000,"Wed, 20 Jan 2021 09:53:45 CST"
60804-0000,"Wed, 20 Jan 2021 09:55:10 CST"
,"Wed, 20 Jan 2021 09:56:10 CST"
60804,"Wed, 20 Jan 2021 09:57:29 CST"
,"Wed, 20 Jan 2021 09:58:04 CST"
,"Wed, 20 Jan 2021 09:59:58 CST"
,"Wed, 20 Jan 2021 10:01:34 CST"
60527-0000,"Wed, 20 Jan 2021 10:03:56 CST"
,"Wed, 20 Jan 2021 10:04:18 CST"
60527-0000,"Wed, 20 Jan 2021 10:04:56 CST"
60614-0000,"Wed, 20 Jan 2021 10:08:06 CST"
,"Wed, 20 Jan 2021 10:08:45 CST"
60804-0000,"Wed, 20 Jan 2021 10:14:22 CST"
606500000,"Wed, 20 Jan 2021 10:15:27 CST"
606500000,"Wed, 20 Jan 2021 10:29:54 CST"
60527-0000,"Wed, 20 Jan 2021 10:15:59 CST"
,"Wed, 20 Jan 2021 10:16:14 CST"
,"Wed, 20 Jan 2021 10:17:49 CST"
60629-0000,"Wed, 20 Jan 2021 10:18:18 CST"
,"Wed, 20 Jan 2021 10:22:11 CST"
,"Wed, 20 Jan 2021 10:23:43 CST"
60804-0000,"Wed, 20 Jan 2021 10:24:14 CST"
60804-0000,"Wed, 20 Jan 2021 10:25:03 CST"
,"Wed, 20 Jan 2021 10:26:05 CST"
60638-0000,"Wed, 20 Jan 2021 10:26:18 CST"
60804,"Wed, 20 Jan 2021 10:28:02 CST"
60402-0000,"Wed, 20 Jan 2021 10:28:22 CST"
60804-0000,"Wed, 20 Jan 2021 10:29:22 CST"
60804-0000,"Wed, 20 Jan 2021 10:47:12 CST"
60525-0000,"Wed, 20 Jan 2021 10:29:57 CST"
,"Wed, 20 Jan 2021 10:33:58 CST"
,"Wed, 20 Jan 2021 10:34:56 CST"
,"Wed, 20 Jan 2021 10:37:10 CST"
,"Wed, 20 Jan 2021 10:39:20 CST"
,"Wed, 20 Jan 2021 10:47:31 CST"
60804,"Wed, 20 Jan 2021 10:53:26 CST"
